TimeSliceSorted,Sum of PV,Process,Region
01_SP_01,2.16729088476025e-7,EE-WIND_OFF,O_Vestavind2
01_SP_01,72.7255647111294,EE-WIND_OFF_S6,O_Sorvest
01_SP_02,2.17839153465146e-7,EE-WIND_OFF,O_Vestavind2
01_SP_02,72.358300976602,EE-WIND_OFF_S6,O_Sorvest
01_SP_03,2.18838211955356e-7,EE-WIND_OFF,O_Vestavind2
01_SP_03,72.1820143840288,EE-WIND_OFF_S6,O_Sorvest
01_SP_04,2.19193432751874e-7,EE-WIND_OFF,O_Vestavind2
01_SP_04,72.0130730661461,EE-WIND_OFF_S6,O_Sorvest
01_SP_05,2.18593997657749e-7,EE-WIND_OFF,O_Vestavind2
01_SP_05,71.9836919673839,EE-WIND_OFF_S6,O_Sorvest
01_SP_06,2.16573679377548e-7,EE-WIND_OFF,O_Vestavind2
01_SP_06,71.9102392204784,EE-WIND_OFF_S6,O_Sorvest
01_SP_07,2.14619964996695e-7,EE-WIND_OFF,O_Vestavind2
01_SP_07,72.0130730661461,EE-WIND_OFF_S6,O_Sorvest
01_SP_08,2.13465497408009e-7,EE-WIND_OFF,O_Vestavind2
01_SP_08,72.1526332852666,EE-WIND_OFF_S6,O_Sorvest
01_SP_09,2.12821659714319e-7,EE-WIND_OFF,O_Vestavind2
01_SP_09,72.3142293284587,EE-WIND_OFF_S6,O_Sorvest
01_SP_10,2.12444237618017e-7,EE-WIND_OFF,O_Vestavind2
01_SP_10,72.4831706463413,EE-WIND_OFF_S6,O_Sorvest
01_SP_11,2.04873594392211e-7,EE-WIND_OFF,O_Vestavind2
01_SP_11,71.8882033964068,EE-WIND_OFF_S6,O_Sorvest
01_SP_12,2.04074347600043e-7,EE-WIND_OFF,O_Vestavind2
01_SP_12,72.0424541649083,EE-WIND_OFF_S6,O_Sorvest
01_SP_13,2.04473970996127e-7,EE-WIND_OFF,O_Vestavind2
01_SP_13,72.1526332852666,EE-WIND_OFF_S6,O_Sorvest
01_SP_14,2.06050263280679e-7,EE-WIND_OFF,O_Vestavind2
01_SP_14,72.2995387790776,EE-WIND_OFF_S6,O_Sorvest
01_SP_15,2.08248191959139e-7,EE-WIND_OFF,O_Vestavind2
01_SP_15,72.5052064704129,EE-WIND_OFF_S6,O_Sorvest
01_SP_16,2.12044614221934e-7,EE-WIND_OFF,O_Vestavind2
01_SP_16,72.7696363592727,EE-WIND_OFF_S6,O_Sorvest
01_SP_17,2.15063990992343e-7,EE-WIND_OFF,O_Vestavind2
01_SP_17,73.041411522823,EE-WIND_OFF_S6,O_Sorvest
01_SP_18,2.16729088476025e-7,EE-WIND_OFF,O_Vestavind2
01_SP_18,73.0487567975136,EE-WIND_OFF_S6,O_Sorvest
01_SP_19,2.17705945666452e-7,EE-WIND_OFF,O_Vestavind2
01_SP_19,73.0561020722042,EE-WIND_OFF_S6,O_Sorvest
01_SP_20,2.18371984659925e-7,EE-WIND_OFF,O_Vestavind2
01_SP_20,72.9973398746798,EE-WIND_OFF_S6,O_Sorvest
01_SP_21,2.18349783360142e-7,EE-WIND_OFF,O_Vestavind2
01_SP_21,72.9532682265365,EE-WIND_OFF_S6,O_Sorvest
01_SP_22,2.18549595058184e-7,EE-WIND_OFF,O_Vestavind2
01_SP_22,72.9385776771554,EE-WIND_OFF_S6,O_Sorvest
01_SP_23,2.16884497574502e-7,EE-WIND_OFF,O_Vestavind2
01_SP_23,73.2030075660151,EE-WIND_OFF_S6,O_Sorvest
01_SP_24,2.17062107972762e-7,EE-WIND_OFF,O_Vestavind2
01_SP_24,73.2470792141584,EE-WIND_OFF_S6,O_Sorvest
02_SU_01,1.66154527571663e-7,EE-WIND_OFF,O_Vestavind2
02_SU_01,57.7338590677181,EE-WIND_OFF_S6,O_Sorvest
02_SU_02,1.6613232627188e-7,EE-WIND_OFF,O_Vestavind2
02_SU_02,57.3665953331907,EE-WIND_OFF_S6,O_Sorvest
02_SU_03,1.66443144468834e-7,EE-WIND_OFF,O_Vestavind2
02_SU_03,56.9258788517577,EE-WIND_OFF_S6,O_Sorvest
02_SU_04,1.67175787361654e-7,EE-WIND_OFF,O_Vestavind2
02_SU_04,56.2868399536799,EE-WIND_OFF_S6,O_Sorvest
02_SU_05,1.67420001659261e-7,EE-WIND_OFF,O_Vestavind2
02_SU_05,55.8901951203902,EE-WIND_OFF_S6,O_Sorvest
02_SU_06,1.66642956166876e-7,EE-WIND_OFF,O_Vestavind2
02_SU_06,55.6110746821494,EE-WIND_OFF_S6,O_Sorvest
02_SU_07,1.65754904175579e-7,EE-WIND_OFF,O_Vestavind2
02_SU_07,55.5155861111722,EE-WIND_OFF_S6,O_Sorvest
02_SU_08,1.65754904175579e-7,EE-WIND_OFF,O_Vestavind2
02_SU_08,55.7212538025076,EE-WIND_OFF_S6,O_Sorvest
