TimeSliceSorted,Sum of PV,Process,Region
01_SP_01,4.52833423071431e-7,EE-WIND_OFF,O_Nordavind
01_SP_01,1.38270686199254e-7,EE-WIND_OFF,O_Nordvest
01_SP_01,4.88457065908312e-7,EE-WIND_OFF,O_Vestavind1
01_SP_01,0.00000125485331292712,EE-WIND_OFF,O_Vestavind2
01_SP_01,23.6274196532805,EE-WIND_OFF_S1,O_Sorvest
01_SP_01,23.5479914233663,EE-WIND_OFF_S2,O_Sorvest
01_SP_01,23.8949231636454,EE-WIND_OFF_S3,O_Sorvest
01_SP_01,9.89159375121938e-9,EE-WIND_OFF_S4,O_Sorvest
01_SP_01,24.3285878324265,EE-WIND_OFF_S5,O_Sorvest
01_SP_01,84.8464921553548,EE-WIND_OFF_S6,O_Sorvest
01_SP_01,1.36168589715562e-9,EE-WIND_OFF_S7,O_Sorvest
01_SP_02,4.53130418664189e-7,EE-WIND_OFF,O_Nordavind
01_SP_02,1.36911226104875e-7,EE-WIND_OFF,O_Nordvest
01_SP_02,4.88751435373504e-7,EE-WIND_OFF,O_Vestavind1
01_SP_02,0.00000126128054767884,EE-WIND_OFF,O_Vestavind2
01_SP_02,23.5081013033497,EE-WIND_OFF_S1,O_Sorvest
01_SP_02,23.4290741855956,EE-WIND_OFF_S2,O_Sorvest
01_SP_02,23.7742539223382,EE-WIND_OFF_S3,O_Sorvest
01_SP_02,9.84164125272822e-9,EE-WIND_OFF_S4,O_Sorvest
01_SP_02,24.205728586732,EE-WIND_OFF_S5,O_Sorvest
01_SP_02,84.4180177984446,EE-WIND_OFF_S6,O_Sorvest
01_SP_02,1.35480939025149e-9,EE-WIND_OFF_S7,O_Sorvest
01_SP_03,4.53045562780544e-7,EE-WIND_OFF,O_Nordavind
01_SP_03,1.36693712489774e-7,EE-WIND_OFF,O_Nordvest
01_SP_03,4.88849558528568e-7,EE-WIND_OFF,O_Vestavind1
01_SP_03,0.0000012670650589554,EE-WIND_OFF,O_Vestavind2
01_SP_03,23.450828495383,EE-WIND_OFF_S1,O_Sorvest
01_SP_03,23.3719939114656,EE-WIND_OFF_S2,O_Sorvest
01_SP_03,23.7163326865108,EE-WIND_OFF_S3,O_Sorvest
01_SP_03,9.81766405345247e-9,EE-WIND_OFF_S4,O_Sorvest
01_SP_03,24.1467561487987,EE-WIND_OFF_S5,O_Sorvest
01_SP_03,84.2123501071277,EE-WIND_OFF_S6,O_Sorvest
01_SP_03,1.35150866693751e-9,EE-WIND_OFF_S7,O_Sorvest
01_SP_04,4.52493999536851e-7,EE-WIND_OFF,O_Nordavind
01_SP_04,1.36476198874674e-7,EE-WIND_OFF,O_Nordvest
01_SP_04,4.86543664384565e-7,EE-WIND_OFF,O_Vestavind1
01_SP_04,0.00000126912177407595,EE-WIND_OFF,O_Vestavind2
01_SP_04,23.3959420544149,EE-WIND_OFF_S1,O_Sorvest
01_SP_04,23.3172919820911,EE-WIND_OFF_S2,O_Sorvest
01_SP_04,23.6608248355095,EE-WIND_OFF_S3,O_Sorvest
01_SP_04,9.79468590414653e-9,EE-WIND_OFF_S4,O_Sorvest
01_SP_04,24.0902408957792,EE-WIND_OFF_S5,O_Sorvest
01_SP_04,84.0152519029491,EE-WIND_OFF_S6,O_Sorvest
01_SP_04,1.34834547376161e-9,EE-WIND_OFF_S7,O_Sorvest
01_SP_05,4.52324287769562e-7,EE-WIND_OFF,O_Nordavind
