TimeSliceSorted,Sum of PV,Process,Region
01_SP_01,4.52334740747521e-7,EE-WIND_OFF,O_Nordavind
01_SP_01,1.37900878277539e-7,EE-WIND_OFF,O_Nordvest
01_SP_01,4.05560730789136e-7,EE-WIND_OFF,O_Vestavind1
01_SP_01,2.81968051981206e-7,EE-WIND_OFF,O_Vestavind2
01_SP_01,5.89305871817782e-9,EE-WIND_OFF_S1,O_Sorvest
01_SP_01,1.17526875306296e-8,EE-WIND_OFF_S2,O_Sorvest
01_SP_01,23.8949230801508,EE-WIND_OFF_S3,O_Sorvest
01_SP_01,3.1336724298678e-9,EE-WIND_OFF_S4,O_Sorvest
01_SP_01,24.3285878201436,EE-WIND_OFF_S5,O_Sorvest
01_SP_01,72.7255647173449,EE-WIND_OFF_S6,O_Sorvest
01_SP_01,6.15178801105052e-10,EE-WIND_OFF_S7,O_Sorvest
01_SP_02,4.52631409274199e-7,EE-WIND_OFF,O_Nordavind
01_SP_02,1.36545054088398e-7,EE-WIND_OFF,O_Nordvest
01_SP_02,4.05805142639752e-7,EE-WIND_OFF,O_Vestavind1
01_SP_02,2.83412264499036e-7,EE-WIND_OFF,O_Vestavind2
01_SP_02,5.86329880141094e-9,EE-WIND_OFF_S1,O_Sorvest
01_SP_02,1.16933365179509e-8,EE-WIND_OFF_S2,O_Sorvest
01_SP_02,23.7742538392653,EE-WIND_OFF_S3,O_Sorvest
01_SP_02,3.117847399922e-9,EE-WIND_OFF_S4,O_Sorvest
01_SP_02,24.2057285745111,EE-WIND_OFF_S5,O_Sorvest
01_SP_02,72.358300982786,EE-WIND_OFF_S6,O_Sorvest
01_SP_02,6.12072151266121e-10,EE-WIND_OFF_S7,O_Sorvest
01_SP_03,4.52546646838005e-7,EE-WIND_OFF,O_Nordavind
01_SP_03,1.36328122218136e-7,EE-WIND_OFF,O_Nordvest
01_SP_03,4.05886613256624e-7,EE-WIND_OFF,O_Vestavind1
01_SP_03,2.84712055765084e-7,EE-WIND_OFF,O_Vestavind2
01_SP_03,5.84901404136284e-9,EE-WIND_OFF_S1,O_Sorvest
01_SP_03,1.16648480318652e-8,EE-WIND_OFF_S2,O_Sorvest
01_SP_03,23.7163326036402,EE-WIND_OFF_S3,O_Sorvest
01_SP_03,3.11025138554802e-9,EE-WIND_OFF_S4,O_Sorvest
01_SP_03,24.1467561366075,EE-WIND_OFF_S5,O_Sorvest
01_SP_03,72.1820143901978,EE-WIND_OFF_S6,O_Sorvest
01_SP_03,6.10580959343435e-10,EE-WIND_OFF_S7,O_Sorvest
01_SP_04,4.51995691002746e-7,EE-WIND_OFF,O_Nordavind
01_SP_04,1.36111190347873e-7,EE-WIND_OFF,O_Nordvest
01_SP_04,4.03972053760131e-7,EE-WIND_OFF,O_Vestavind1
01_SP_04,2.85174203770789e-7,EE-WIND_OFF,O_Vestavind2
01_SP_04,5.83532447965007e-9,EE-WIND_OFF_S1,O_Sorvest
01_SP_04,1.1637546566033e-8,EE-WIND_OFF_S2,O_Sorvest
