TimeSliceSorted,Sum of PV,Process,Region
01_SP_01,4.51279213837743e-7,EE-WIND_OFF,O_Nordavind
01_SP_01,1.34563569325163e-7,EE-WIND_OFF,O_Nordvest
01_SP_01,4.04648793032646e-7,EE-WIND_OFF,O_Vestavind1
01_SP_01,2.25969062482356e-7,EE-WIND_OFF,O_Vestavind2
01_SP_01,4.14395114031215e-10,EE-WIND_OFF_S1,O_Sorvest
01_SP_01,4.97400594441982e-10,EE-WIND_OFF_S2,O_Sorvest
01_SP_01,6.33785444421977e-10,EE-WIND_OFF_S3,O_Sorvest
01_SP_01,3.35979904117901e-10,EE-WIND_OFF_S4,O_Sorvest
01_SP_01,6.93860926686187e-10,EE-WIND_OFF_S5,O_Sorvest
01_SP_01,72.7255647111294,EE-WIND_OFF_S6,O_Sorvest
01_SP_01,1.06446039618167e-10,EE-WIND_OFF_S7,O_Sorvest
01_SP_02,4.51575190085927e-7,EE-WIND_OFF,O_Nordavind
01_SP_02,1.33240557140273e-7,EE-WIND_OFF,O_Nordvest
01_SP_02,4.04892655302453e-7,EE-WIND_OFF,O_Vestavind1
01_SP_02,2.27126453705887e-7,EE-WIND_OFF,O_Vestavind2
01_SP_02,4.12302420798051e-10,EE-WIND_OFF_S1,O_Sorvest
01_SP_02,4.94888723951921e-10,EE-WIND_OFF_S2,O_Sorvest
01_SP_02,6.30584831128259e-10,EE-WIND_OFF_S3,O_Sorvest
01_SP_02,3.34283207298802e-10,EE-WIND_OFF_S4,O_Sorvest
01_SP_02,6.90356932510416e-10,EE-WIND_OFF_S5,O_Sorvest
01_SP_02,72.358300976602,EE-WIND_OFF_S6,O_Sorvest
01_SP_02,1.05908487655647e-10,EE-WIND_OFF_S7,O_Sorvest
01_SP_03,4.51490625443589e-7,EE-WIND_OFF,O_Nordavind
01_SP_03,1.33028875190691e-7,EE-WIND_OFF,O_Nordvest
01_SP_03,4.04973942725722e-7,EE-WIND_OFF,O_Vestavind1
01_SP_03,2.28168105807066e-7,EE-WIND_OFF,O_Vestavind2
01_SP_03,4.11297928046132e-10,EE-WIND_OFF_S1,O_Sorvest
01_SP_03,4.93683026116691e-10,EE-WIND_OFF_S2,O_Sorvest
01_SP_03,6.29048536747274e-10,EE-WIND_OFF_S3,O_Sorvest
01_SP_03,3.33468792825635e-10,EE-WIND_OFF_S4,O_Sorvest
01_SP_03,6.88675015306046e-10,EE-WIND_OFF_S5,O_Sorvest
01_SP_03,72.1820143840288,EE-WIND_OFF_S6,O_Sorvest
01_SP_03,1.05650462713638e-10,EE-WIND_OFF_S7,O_Sorvest
01_SP_04,4.5094095526839e-7,EE-WIND_OFF,O_Nordavind
01_SP_04,1.32817193241108e-7,EE-WIND_OFF,O_Nordvest
01_SP_04,4.03063688278903e-7,EE-WIND_OFF,O_Vestavind1
01_SP_04,2.28538470998596e-7,EE-WIND_OFF,O_Vestavind2
01_SP_04,4.10335289158876e-10,EE-WIND_OFF_S1,O_Sorvest
